"ChangeType","Scope","PathOrPackage","VersionOrCommit","FileCount","Bytes","StatusOrNotes"
"modified+pushed","repository","C:\Users\miaogongzi\Documents\GitHub\reverse-skill","d53d790353bf7ad309babad0c04ce58deff9dad3","","","HEAD equals origin/main; worktree clean; six commits listed in final summary"
"generated-ignored","repository","skills\tool-index.md; skills\tool-index.json","2026-08-14 final refresh","2","","Tool and capability indexes; gitignored"
"created","Codex adapter","C:\Users\miaogongzi\.agents\skills\reverse-skill-router\SKILL.md","SHA256 FBFA3AC20127C6CA3C89288F8703534FD9721DFABFA68FBDBA95ABF4AB66D01F","1","1248","Router adapter"
"created","Codex adapter","C:\Users\miaogongzi\.agents\skills\reverse-skill-router\agents\openai.yaml","SHA256 6C8E143F517DC8E9041537CDF8F58831F499F1678C42F951FAE1D14F27A8B1BC","1","281","Adapter metadata"
"modified","Codex config","C:\Users\miaogongzi\.codex\config.toml","SHA256 1C01842E8CF7262BF7C6192989CA550CE27957C7B269B8EABCE4DFEC2C5055A1","1","6491","Added four MCP blocks; UTF-8 no BOM; token omitted"
"created","Codex backup","C:\Users\miaogongzi\.codex\backups\config.pre-reverse-skill-full-install.20260814-022508.toml","SHA256 B75C89DE8545A016E7F37F39B176834E39C47E72BAB6F09D096B4C6234A0E192","1","5741","Pre-install rollback copy"
"created","tool directory","C:\Users\miaogongzi\Tools\jadx","1.5.6","7","78273694","Ready"
"created","tool directory","C:\Users\miaogongzi\Tools\apktool","3.0.2","2","15476858","Ready; JAR hash matches manifest pin"
"created","tool directory","C:\Users\miaogongzi\Tools\radare2","6.2.0","743","42225670","Ready; r2 and rabin2"
"created","tool directory","C:\Users\miaogongzi\Tools\ghidra","12.1.2 PUBLIC","5225","914243794","Ghidra ready; GhidraMCP plugin not deployed"
"created-partial","tool directory","C:\Users\miaogongzi\Tools\SecLists","e5e49caa6fb648476f3bca391b26a45a4f5d3f13","6281","2780943052","Ready but 16 tracked EICAR/WebShell payloads are missing; likely endpoint-security handling, not proven"
"created","tool directory","C:\Users\miaogongzi\Tools\ProxyCat","2309b713e2e4f574df14c2ace7e8fa6c00eb6941","2050","38265759","Code plus isolated .venv; not running"
"created","tool directory","C:\Users\miaogongzi\Tools\bkcrack","1.8.1","7","289666","Ready"
"created","tool directory","C:\Users\miaogongzi\Tools\anything-analyzer","3.6.60 / 0ed4791688e5186da051c85eb7ddfe4639e14fd2","33776","819989904","Ready; includes node_modules and generated pnpm-workspace.yaml"
"created","command wrappers","C:\Users\miaogongzi\Tools\bin","proxycat/yara/yarac","3","449","User PATH entry added"
"created","Go binary","C:\Users\miaogongzi\go\bin\pentestswarm.exe","v0.1.0","1","30710784","SHA256 02C508245020B7DFDE69EE2515AB3B5B99FFA921992B62F60E075A2B03AF7B38"
"created","Cargo binary","C:\Users\miaogongzi\.cargo\bin\binwalk.exe","3.1.0 / 4fdab3d464d97b68e0af9088df3f9e2e1545b21c","1","3807744","SHA256 697B313D75E754508DE5B229484E44E7AC0B05CFABDE667763762890016E05C7"
"installed","winget","GoLang.Go","1.26.5","","","Machine PATH updated"
"installed","winget","Microsoft.VisualStudio.2022.BuildTools","17.14.37","","","C++ workload/build support"
"installed","winget","Insecure.Nmap","7.80","","","Ready"
"installed","winget","VirusTotal.YARA","4.5.5","","","Official binaries; wrappers provide yara/yarac names"
"installed","winget","Rustlang.Rustup","1.29.0","","","Stable x86_64-pc-windows-msvc toolchain"
"installed","pip","frida-tools","14.10.4","","","Python 3.13 site-packages"
"installed","pip","ida-pro-mcp","2.0.0","","","Package installed; no licensed IDA runtime found"
"installed","pip","pwntools","4.15.0","","","Python 3.13 site-packages"
"created","Anything Analyzer config","C:\Users\miaogongzi\AppData\Roaming\anything-analyzer\mcp-server-config.json","SHA256 4AFF3132D5BC9D770455B3FEAF82235A8D76AC535F2D04F0B215C3A5742BA716","1","168","127.0.0.1:23816; auth enabled; token omitted"
"created","Anything Analyzer config","C:\Users\miaogongzi\AppData\Roaming\Anything Analyzer\mcp-server-config.json","SHA256 4AFF3132D5BC9D770455B3FEAF82235A8D76AC535F2D04F0B215C3A5742BA716","1","168","Mirror config; token omitted"
"modified","user environment","Path","added .cargo\bin, go\bin, YARA package dir, Tools\bin","","","New shells inherit paths"
"created","user environment","ANYTHING_ANALYZER_MCP_TOKEN","present","","","Secret value intentionally omitted"
"created-ignored","audit artifacts","work\reverse-skill-install-audit","2026-08-14","","","Reports, raw logs, case evidence, inspected GhidraMCP artifact; gitignored"
"not-created","blocked deployment","C:\Users\miaogongzi\Tools\ghidra\Ghidra\Extensions\GhidraMCP","1.4 rejected","0","0","Version mismatch, wildcard bind, no auth, unsigned JAR"
"not-modified","client boundary","C:\Users\miaogongzi\.claude\mcp.json","","","","McpHostTarget Codex used; Claude config untouched"
